PRIMERS,DILN,Oligo,CL,Rep,Cy0,eff,fluo
NM827_NM828,20,804,1,1,7.02,1.588062098710387,394.54949817830123
NM827_NM828,20,804,1,2,6.51,1.551829944083248,373.56770133583893
NM827_NM828,20,804,1,3,6.52,1.6410305941931502,338.9788054168168
NM827_NM828,20,804,2,1,6.62,1.66072618590962,359.11836678439295
NM827_NM828,20,804,2,2,6.45,1.6440220290678715,355.4431382476615
NM827_NM828,20,804,2,3,6.6,1.6760599714568756,417.55693977271375
NM827_NM828,20,1,1,1,5.82,1.5173017571829093,370.2588299164114
NM827_NM828,20,1,1,2,6.13,1.620292692541345,358.7063347610854
NM827_NM828,20,1,1,3,5.95,1.535419239942061,353.3920429291529
NM827_NM828,20,1,2,1,6.13,1.622790553900021,413.7827062585668
NM827_NM828,20,1,2,2,6.29,1.631826655836968,427.1102937311033
NM827_NM828,20,1,2,3,6.25,1.6792870625733893,370.7575527736782
NM827_NM828,20,2,1,1,6.3,1.6001078807867128,354.49134038709263
NM827_NM828,20,2,1,2,6.1,1.6173172084798142,343.4822347815483
NM827_NM828,20,2,1,3,6.26,1.558147388149002,373.78024397132936
NM827_NM828,20,2,2,1,6.31,1.734120464938456,391.20412349151377
NM827_NM828,20,2,2,2,6.38,1.6655241263124845,410.20978959901004
NM827_NM828,20,2,2,3,6.95,1.7040136181794738,391.95828026683336
NM827_NM828,20,3,1,1,6.25,1.629874147693681,344.1390209146202
NM827_NM828,20,3,1,2,6.15,1.6164908284809547,360.0905178414918
NM827_NM828,20,3,1,3,6.41,1.6464644513760445,323.59336852205405
NM827_NM828,20,3,2,1,6.73,1.7043862533336156,404.0880706082379
NM827_NM828,20,3,2,2,6.43,1.6442173021316975,393.01641314198463
NM827_NM828,20,3,2,3,6.48,1.6840509975091538,399.96271135338196
NM827_NM828,20,7,1,1,7.13,1.6281427718771977,337.44183896507025
NM827_NM828,20,7,1,2,7.03,1.6452786409342863,328.3202233259604
NM827_NM828,20,7,1,3,7.27,1.677717890326143,325.52293051426017
NM827_NM828,20,7,2,1,7.98,1.741712384803032,406.91593797064434
NM827_NM828,20,7,2,2,7.95,1.696583682353661,391.7689213051465
NM827_NM828,20,7,2,3,7.93,1.6031873474495535,374.35084881375633
NM827_NM828,20,8,1,1,7.57,1.7182914575100117,345.2148569032054
NM827_NM828,20,8,1,2,7.42,1.63148953560737,337.9085343304167
NM827_NM828,20,8,1,3,7.42,1.6816472793288446,329.0139813309676
NM827_NM828,20,8,2,1,8.58,1.676532399678277,355.12265898623696
NM827_NM828,20,8,2,2,8.36,1.6749155969554346,369.598347633808
NM827_NM828,20,8,2,3,8.57,1.6535381880991094,364.05888113835226
NM827_NM828,20,9,1,1,7.85,1.6749632412802986,340.94549318169607
NM827_NM828,20,9,1,2,8.34,1.6421242128625397,331.88450349635445
NM827_NM828,20,9,1,3,8.15,1.729018821666656,332.8355853559764
NM827_NM828,20,9,2,1,9.67,1.721723680563878,397.36209287449935
NM827_NM828,20,9,2,2,9.62,1.7238940344153362,419.4579216809574
NM827_NM828,20,9,2,3,9.55,1.7378960227583726,403.3739482568228
NM828_804_LC_1,20,1,1,1,6.94,1.7361624916279543,541.394802542356
NM828_804_LC_1,20,1,1,2,6.88,1.7111259883929546,497.10264201496614
NM828_804_LC_1,20,1,1,3,6.46,1.676221590355106,489.6346673267745
NM828_804_LC_1,20,1,2,1,6.69,1.7390535670580947,436.2874124982135
NM828_804_LC_1,20,1,2,2,6.49,1.6822775880302148,429.574592832397
NM828_804_LC_1,20,1,2,3,6.66,1.7345276161702095,410.68234490014316
NM828_804_LC_1,20,2,1,1,6.32,1.689598098148145,472.7868714561716
NM828_804_LC_1,20,2,1,2,6.54,1.72397187697056,470.99659592694405
NM828_804_LC_1,20,2,1,3,6.45,1.6475502123209,469.73762008366157
NM828_804_LC_1,20,2,2,1,6.61,1.753068070994245,397.3553989419294
NM828_804_LC_1,20,2,2,2,7.07,1.7494075203611603,413.9623134390976
NM828_804_LC_1,20,2,2,3,6.64,1.7574402746203128,423.6608958833764
NM828_804_LC_1,20,3,1,1,6.54,1.6423560044871792,383.68082294265145
NM828_804_LC_1,20,3,1,2,6.75,1.6454531814005557,416.2405687901496
NM828_804_LC_1,20,3,1,3,6.35,1.6500329215307623,448.0009526154229
NM828_804_LC_1,20,3,2,1,6.78,1.7084410625829767,398.97808105815557
NM828_804_LC_1,20,3,2,2,6.63,1.6992225025867,507.0422812838393
NM828_804_LC_1,20,3,2,3,6.47,1.647954719833613,464.4430003684988
NM828_804_LC_1,20,7,1,1,6.8,1.7997418732146193,344.2238992697803
NM828_804_LC_1,20,7,1,2,6.73,1.6643890768449678,417.9896062443795
NM828_804_LC_1,20,7,1,3,6.74,1.7615513282131197,393.78308576127006
NM828_804_LC_1,20,7,2,1,6.5,1.601681780333523,342.8827552710087
NM828_804_LC_1,20,7,2,2,6.48,1.6540497887497718,407.3884884889729
NM828_804_LC_1,20,7,2,3,6.63,1.6668179019676845,393.20197222364357
NM828_804_LC_1,20,8,1,1,6.83,1.7262871683016514,375.34655037488324
NM828_804_LC_1,20,8,1,2,7.05,1.7237535404142768,401.00262370569806
NM828_804_LC_1,20,8,1,3,7.03,1.764138326027877,420.72896268483805
NM828_804_LC_1,20,8,2,1,6.94,1.656633755255319,395.40387632672196
NM828_804_LC_1,20,8,2,2,7.05,1.695899848600735,387.8654913760091
NM828_804_LC_1,20,8,2,3,6.95,1.6937426154377615,364.6979421635985
NM828_804_LC_1,20,9,1,1,6.74,1.682206004436286,469.2849030841652
NM828_804_LC_1,20,9,1,2,6.59,1.6535125569452263,472.11121491105473
NM828_804_LC_1,20,9,1,3,6.76,1.6303945369297226,445.6875034506152
NM828_804_LC_1,20,9,2,1,6.87,1.7229600217829184,342.94660491489617
NM828_804_LC_1,20,9,2,2,6.99,1.7840352307635747,378.08667808168707
NM828_804_LC_1,20,9,2,3,6.78,1.6897563692736093,381.4446252996082
NM828_NM562,20,804,1,1,6.77,1.6679949743175286,417.3047281000613
NM828_NM562,20,804,1,2,7.1,1.7412128056486342,434.9826684068639
NM828_NM562,20,804,1,3,6.54,1.5904018506636328,396.87623236440555
NM828_NM562,20,804,2,1,6.48,1.5718637204180743,416.1260220725001
NM828_NM562,20,804,2,2,6.67,1.6242173202927412,440.0413973159495
NM828_NM562,20,804,2,3,6.28,1.6122860915784265,375.95669566767583
